domain,category,nreactions,nreactants,nproducts,rate,text
bio,general,1,-1,-1,True,A reaction occurs from {reactants} to {products} at a rate of {rate}.
bio,general,1,-1,-1,True,The reaction rate from {reactants} to {products} is {rate}.
bio,general,1,-1,1,True,{products} is generated at a rate of {rate} from {reactants}.
bio,general,1,-1,1,True,{products} is created at a rate of {rate} from {reactants}.
bio,general,1,-1,1,True,{products} is produced with a rate of {rate} from {reactants}.
bio,general,1,-1,1,True,{products} is produced from {reactants} at a rate of {rate}.
bio,general,1,-1,1,True,{products} is created from {reactants} at a rate of {rate}.
bio,general,1,-1,2,True,{products} are generated at a rate of {rate} from {reactants}.
bio,general,1,-1,2,True,{products} are created at a rate of {rate} from {reactants}.
bio,general,1,-1,2,True,{products} are produced with a rate of {rate} from {reactants}.
bio,general,1,-1,2,True,{products} are produced from {reactants} at a rate of {rate}.
bio,general,1,-1,2,True,{products} are created from {reactants} at a rate of {rate}.
bio,general,1,1,-1,True,{reactants} undergoes a reaction leading to {products} with a rate of {rate}.
bio,general,1,1,-1,True,{reactants} undergoes a reaction resulting in {products} with a rate of {rate}.
bio,general,1,1,-1,True,{reactants} yields {products} with a rate of {rate}.
bio,general,1,1,1,True,{reactants} transitions into {products} at a rate of {rate}.
bio,general,1,2,-1,True,{reactants} undergo a reaction leading to {products} with a rate of {rate}.
bio,general,1,2,-1,True,{reactants} undergo a reaction resulting in {products} with a rate of {rate}.
bio,general,1,2,-1,True,{reactants} yield {products} with a rate of {rate}.
bio,general,1,2,2,True,{reactants} transition into {products} at a rate of {rate}.
bio,degradation,1,1,0,True,{reactants} degrades with a rate of {rate}.
bio,degradation,1,1,0,True,{reactants} decays at a rate of {rate}.
bio,degradation,1,1,0,True,{reactants} leaves the system with a rate of {rate}.
bio,degradation,1,1,0,True,{reactants} is destroyed with a rate of {rate}.
bio,degradation,1,1,0,True,{reactants} is destroyed at a rate of {rate}.
bio,degradation,1,1,0,True,{reactants} is eliminated with a rate of {rate}.
bio,degradation,1,1,0,True,{reactants} vanishes at a rate of {rate}.
bio,degradation,1,1,0,True,{reactants} is consumed at a rate of {rate}.
bio,degradation,1,1,0,True,{reactants} disappears with a rate of {rate}.
bio,degradation,1,1,0,True,{reactants} is eradicated at a rate of {rate}.
bio,degradation,1,1,0,True,{reactants} is removed from the system with a rate of {rate}.
bio,degradation,1,1,0,True,{reactants} is removed from the system at a rate of {rate}.
bio,degradation,1,1,0,True,{reactants} diminishes with a rate of {rate}.
bio,degradation,1,1,0,True,{reactants} diminishes at a rate of {rate}.
bio,degradation,1,1,0,True,{reactants} is eliminated at a rate of {rate}.
bio,degradation,1,1,0,True,{reactants} is consumed with a rate of {rate}.
bio,degradation,1,1,0,True,The population of {reactants} is reduced at a rate of {rate}.
bio,degradation,1,1,0,True,{reactants} is depleted at a rate of {rate}.
bio,degradation,1,1,0,True,{reactants} is depleted with a rate of {rate}.
bio,degradation,1,1,0,True,{reactants} undergoes degradation at a rate of {rate}.
bio,degradation,1,2,0,True,{reactants} degrade with a rate of {rate}.
bio,degradation,1,2,0,True,{reactants} decay at a rate of {rate}.
bio,degradation,1,2,0,True,{reactants} leave the system with a rate of {rate}.
bio,degradation,1,2,0,True,{reactants} are destroyed with a rate of {rate}.
bio,degradation,1,2,0,True,{reactants} are destroyed at a rate of {rate}.
bio,degradation,1,2,0,True,{reactants} are eliminated with a rate of {rate}.
bio,degradation,1,2,0,True,{reactants} vanish at a rate of {rate}.
bio,degradation,1,2,0,True,{reactants} are consumed at a rate of {rate}.
bio,degradation,1,2,0,True,{reactants} disappear with a rate of {rate}.
bio,degradation,1,2,0,True,{reactants} are eradicated at a rate of {rate}.
bio,degradation,1,2,0,True,{reactants} are removed from the system with a rate of {rate}.
bio,degradation,1,2,0,True,{reactants} are removed from the system at a rate of {rate}.
bio,degradation,1,2,0,True,{reactants} diminish with a rate of {rate}.
bio,degradation,1,2,0,True,{reactants} diminish at a rate of {rate}.
bio,degradation,1,2,0,True,{reactants} are eliminated at a rate of {rate}.
bio,degradation,1,2,0,True,{reactants} are consumed with a rate of {rate}.
bio,degradation,1,2,0,True,The population of {reactants} are reduced at a rate of {rate}.
bio,degradation,1,2,0,True,{reactants} are depleted at a rate of {rate}.
bio,degradation,1,2,0,True,{reactants} are depleted with a rate of {rate}.
bio,degradation,1,2,0,True,{reactants} undergo degradation at a rate of {rate}.
bio,production,1,0,-1,True,The rate of {products} generation is {rate}.
bio,production,1,0,-1,True,The emergence of {products} occurs at a rate of {rate}.
bio,production,1,0,1,True,{products} emerges at a rate of {rate}.
bio,production,1,0,1,True,{products} emerges with a rate of {rate}.
bio,production,1,0,1,True,{products} emerges from a reaction with a rate of {rate}.
