domain,name
bio,ATP
bio,cATP
bio,Ca
bio,Drp1
bio,Fis1
bio,Mff
bio,Mid
bio,PKA
bio,CaN
bio,Opa1
bio,Mfn
bio,TDH3
bio,ENO2
bio,PGK1
bio,FBA1
bio,PDC1
bio,RPS16B
bio,HSP26
bio,TPI1
bio,GPM1
bio,RPS27B
bio,ADH1
bio,CDC19
bio,PMA1
bio,RPP2A
bio,RPL35A
bio,RPP2B
bio,RPL27A
bio,SSA1
bio,HYP2
bio,RPS24B
bio,CPR1
bio,ALD4
eco,Shark
eco,Orca
eco,Tortoise
eco,Turtle
eco,Deer
eco,Wolf
eco,Fox
eco,Rabbit
eco,Bunny
eco,Mink
eco,Bear
eco,Mouse
eco,Rat
eco,Otter
eco,Raccoon
epi,Contagious
epi,Unexposed
epi,Healthy
epi,Susceptible
epi,Infected
epi,Cured
epi,Recovered
epi,Immune
epi,Nonimmune
epi,Resistant
epi,Sick
epi,Diseased
epi,Vulnerable
epi,Fit
epi,Prone
epi,Exposed
epi,Vaccinated
epi,Healed
epi,Ailing
epi,Infectious
